x1;x2;x3;dx1;dx2;dx3;u1
-0.00145544490869738;-0.000961036970662414;-0.00108473183954782;1.4485565970674e-05;1.61981628509669e-05;8.15898655089943e-06;0
-0.00148140000000002;-0.000797929264719463;-0.00100423230388987;4.55684721922226e-06;6.34994383568387e-06;-1.22892937381581e-05;0
-0.00149347247782465;-0.00082117941129593;-0.00107314250769536;9.11369443844278e-06;-1.02911500847001e-05;1.31007457788838e-05;0
-0.00146899139273042;-0.000832068676015376;-0.000998254105736326;-2.18996714346103e-05;1.86718286150375e-05;1.49211753534956e-05;0
0.0185380861343315;-0.000474065952919509;0.000843466578810225;0.00642069464099084;0.000260508310301376;0.000859241190906534;0.00010128
0.0794005721507489;0.00136013665473537;0.0117568788858842;0.00547475629297385;0.000154371066494799;0.0010381825244297;0.00010128
0.131957889685881;0.00233208361987132;0.0253906048017091;0.00485489321953272;0.000128513887880217;0.0011569721894443;0.00010128
0.179528416612152;0.0043543244663777;0.040172122537112;0.00446110879415065;0.000305820034171718;0.00129484962901414;0.00010128
0.22393329877714;0.00748357993895994;0.0561994320214127;0.00413887814665173;0.000361277303198458;0.00132768578040651;0.00010128
0.265901169444075;0.0113641525769731;0.0720488688860515;0.003934990085667;0.000412280004744961;0.00132883309791493;0.00010128
0.305438638787599;0.0158740718160792;0.0878695310621338;0.00373325199786878;0.000420958826329178;0.0012872767302282;0.00010128
0.342884328409041;0.0208131138984873;0.103473583630764;0.00354164740102436;0.000571526631516384;0.00125754979767678;0.00010128
0.378406270911916;0.0260778591275236;0.1195000689454;0.00339908704162922;0.000490744553419648;0.00129619819718807;0.00010128
0.412086097776036;0.031024000905789;0.134584012910423;0.00322061456380451;0.000472118481130483;0.00127132251546996;0.00010128
0.444296096490108;0.0356390661353492;0.150424191021112;0.00307362183043935;0.000382502290479696;0.00130162283296154;0.00010128
0.47519944343739;0.0397051799314497;0.165722858145242;0.00300627630274214;0.000507168344575232;0.00127169972723637;0.00010128
0.505123927507921;0.0443159777778091;0.180897502536947;0.00287647811452263;0.00045887806191288;0.00123068837039211;0.00010128
0.535716008446887;0.0486610139696032;0.196094185108521;0.00295645847451564;0.00039257124423419;0.00118086333151371;0.00010128
0.564684820577047;0.0527938635114758;0.210914155495488;0.00278793922701615;0.000415162424651144;0.00121509703751047;0.00010128
0.592002370270005;0.0567084568802173;0.225715279887739;0.00248930856024487;0.000262779604961391;0.0012331253995819;0.00010128
0.575267503487723;0.0555561154737612;0.23891254510814;-0.00439490425709932;-0.000260431216884731;0.000893923842425398;0
0.531984192981555;0.0536570344993125;0.248262867001317;-0.00394605088047129;-0.000120054031345761;0.000538913931827534;0
